,Movie,Year,Male Protagonists,Male Cast,Male Death,Female Protagonists,Female Cast,Female Death,Black Protagonists,Black Cast,Black Death,Asian Cast,Asian Protagonists,Asian Death,Gender Villain,Villain Race
0,Friday the 13th,1980,2,14.0,5,1,9.0,4,0.0,0.0,0.0,0.0,0.0,0.0,Female,White
1,Friday the 13th Part 2 ,1981,1,5.0,5,1,4.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
2,Friday the 13th Part 3,1982,0,4.0,7,1,3.0,5,0.0,1.0,0.0,0.0,0.0,0.0,Male,White
3,Friday the 13th: The Final Chapter,1984,1,6.0,6,1,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,Male,White
4,Friday the 13th: A New Beginning,1985,1,6.0,15,1,5.0,7,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
5,Friday the 13th Part VI: Jason Lives,1986,6,15.0,12,1,6.0,6,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
6,Friday the 13th Part VII: The New Blood,1988,2,8.0,8,1,6.0,8,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
7,Friday the 13th Part VIII: Jason Takes Manhattan,1989,2,12.0,15,1,6.0,5,0.0,2.0,1.0,1.0,0.0,1.0,Male,White
8,Jason Goes to Hell: The Final Friday,1993,1,11.0,17,1,6.0,7,0.0,2.0,1.0,1.0,0.0,0.0,Male,White
9,Jason X,2001,1,9.0,18,1,5.0,7,0.0,1.0,1.0,1.0,0.0,1.0,Male,White
10,Freddy vs. Jason ,2003,2,10.0,18,1,5.0,4,0.0,3.0,2.0,0.0,0.0,0.0,Male,White
11,Friday the 13th Reboot,2009,2,9.0,9,1,5.0,5,0.0,1.0,1.0,1.0,0.0,1.0,Male,White
12,Scream,1996,2,7.0,5,1,7.0,2,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
13,Scream 2,1997,2,7.0,6,1,7.0,4,0.0,2.0,1.0,0.0,0.0,0.0,Both,White
14,Scream 3,2000,2,7.0,6,1,7.0,4,0.0,2.0,1.0,0.0,0.0,0.0,Male,White
15,Scream 4,2011,2,7.0,5,2,8.0,10,0.0,1.0,1.0,0.0,0.0,0.0,Female,White
16,The Thing,1982,1,10.0,12,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Male,Raceless
17,Night of the Living Dead,1968,1,6.0,4,1,2.0,4,1.0,1.0,1.0,0.0,0.0,0.0,Genderless,Raceless
18,Get Out,2017,1,7.0,5,1,5.0,3,2.0,3.0,2.0,1.0,0.0,0.0,Female,White
19,Child's Play,1988,1,6.0,5,1,3.0,1,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
20,Child's Play 2,1990,1,5.0,5,1,3.0,3,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
21,Stephen King's IT (1990 Miniseries),1990,3,8.0,1,1,4.0,8,0.0,1.0,1.0,0.0,0.0,0.0,Male,Native American
22,Child's Play 3,1991,1,6.0,8,1,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
23,Bride of Chucky ,1998,1,6.0,10,1,3.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Both,White
24,Seed of Chucky,2004,2,5.0,9,1,3.0,5,0.0,2.0,1.0,1.0,0.0,0.0,Both,White
25,Curse of Chucky,2013,1,4.0,6,1,5.0,4,0.0,1.0,1.0,0.0,0.0,0.0,Male,White
26,Cult of Chucky,2017,1,5.0,5,1,4.0,4,0.0,2.0,1.0,0.0,0.0,0.0,Male,White
27,You're Next,2011,2,6.0,10,1,5.0,5,0.0,1.0,1.0,0.0,0.0,0.0,Both,White
